stress_decile,n_obs,mean_stress_z,event_dd5_h20_rate,event_dd10_h20_rate
1,415,-1.721231191253469,0.10120481927710843,0.00963855421686747
2,414,-1.0478608293412421,0.1642512077294686,0.04589371980676329
3,414,-0.7506339590157541,0.07729468599033816,0.00966183574879227
4,414,-0.5128406853840399,0.13526570048309178,0.0024154589371980675
5,414,-0.27170941741457955,0.10144927536231885,0.03864734299516908
6,414,-0.0006643518762253018,0.09903381642512077,0.021739130434782608
7,414,0.31209890135598195,0.15458937198067632,0.043478260869565216
8,414,0.6821273588715169,0.2246376811594203,0.050724637681159424
9,414,1.221419495627595,0.20772946859903382,0.021739130434782608
10,414,2.5992519385867,0.23671497584541062,0.06521739130434782
